,length,num_tokens,num_sentences,avg_sent_len,num_exclm_mark,ratio_q
1,0.0867559254568482,0.08491508491508491,0.08376963350785341,0.0977177756348441,0.0,0.0
3,0.1242988963271214,0.12387612387612387,0.04712041884816754,0.24553734061930785,0.0,0.0
4,0.009679753935227067,0.00949050949050949,0.010471204188481676,0.061930783242258654,0.0,0.0
6,0.04179482540256921,0.03696303696303696,0.010471204188481676,0.27747419550698244,0.0,0.0
7,0.04686086484530487,0.044455544455544456,0.04712041884816754,0.08961748633879782,0.0,0.0
9,0.014745793377962729,0.015484515484515484,0.005235602094240838,0.14663023679417123,0.0,0.0
10,0.07924733128279356,0.07692307692307693,0.03664921465968586,0.19489981785063754,0.0,0.0
11,0.027863216935046137,0.025974025974025976,0.020942408376963352,0.10819672131147541,0.0,0.0
14,0.19350461371449248,0.1938061938061938,0.07329842931937172,0.2547662416514876,0.12195121951219512,0.25536912751677854
16,0.02144020264157771,0.022477522477522476,0.020942408376963352,0.08233151183970856,0.0,0.0
17,0.027953681925094988,0.025474525474525476,0.041884816753926704,0.057883019631653515,0.0,0.0
20,0.03464809118870997,0.034465534465534464,0.03664921465968586,0.08265027322404371,0.0,0.0
21,0.16636511669983717,0.17132867132867133,0.1099476439790576,0.14712700778274548,0.07317073170731707,0.08512304250559283
22,0.04794644472589108,0.04395604395604396,0.005235602094240838,0.4808743169398907,0.0,0.0
27,0.03066763162656052,0.028471528471528472,0.02617801047120419,0.0986642380085003,0.0,0.0
28,0.028406006875339243,0.024475524475524476,0.031413612565445025,0.07728337236533958,0.0,0.0
29,0.024425547313189796,0.025974025974025976,0.02617801047120419,0.07771706132361869,0.0,0.14592521572387343
30,0.040256920571738734,0.03596403596403597,0.03664921465968586,0.09676684881602915,0.0,0.11349739000745711
31,0.20101320788854712,0.21478521478521478,0.07853403141361257,0.24795081967213115,0.12195121951219512,0.0
32,0.09254568481997467,0.08791208791208792,0.02617801047120419,0.306314511232544,0.0,0.0
39,0.08892708521802063,0.08541458541458541,0.04712041884816754,0.1743169398907104,0.12195121951219512,0.0
42,0.06631083770580785,0.061938061938061936,0.05759162303664921,0.10640558591378263,0.0,0.0
46,0.13868282974488874,0.13786213786213786,0.05235602094240838,0.24904785560523263,0.0,0.4300953726598375
49,0.035643206079247335,0.037462537462537464,0.015706806282722512,0.17577413479052822,0.0975609756097561,0.0
50,0.015198118328206984,0.015484515484515484,0.020942408376963352,0.057194899817850635,0.0,0.0
51,0.029039261805681203,0.028971028971028972,0.020942408376963352,0.11293260473588343,0.0,0.0
52,0.05274108919848019,0.05144855144855145,0.041884816753926704,0.11333738109694395,0.0,0.3143004646360351
53,0.18445811470960738,0.1838161838161838,0.05759162303664921,0.3046448087431694,0.0,0.0
55,0.19024787407273386,0.1973026973026973,0.6701570680628273,0.024286581663630846,0.024390243902439025,0.06661803326524657
56,0.02650624208431337,0.025974025974025976,0.031413612565445025,0.07181889149102265,0.024390243902439025,0.22699478001491422
57,0.04740365478559797,0.04495504495504495,0.10471204188481675,0.04033307311995837,0.0,0.0
59,0.0029853446716120863,0.0024975024975024975,0.0,0.061930783242258654,0.04878048780487805,0.0
60,0.10385380857608105,0.0989010989010989,0.1518324607329843,0.06448087431693988,0.0,0.0
61,0.054821783969603764,0.056943056943056944,0.05759162303664921,0.08712811171827566,0.024390243902439025,0.0
62,0.07427175683010676,0.07692307692307693,0.06806282722513089,0.10187353629976581,0.0,0.12768456375838927
64,0.03057716663651167,0.03146853146853147,0.005235602094240838,0.30601092896174864,0.04878048780487805,0.0
65,0.028496471865388093,0.028971028971028972,0.06282722513089005,0.03923217037971136,0.0,0.0
66,0.02144020264157771,0.02047952047952048,0.03664921465968586,0.049408014571948995,0.0,0.0
67,0.012936493576985706,0.014985014985014986,0.02617801047120419,0.039162112932604735,0.0,0.0
68,0.03220553645739099,0.033466533466533464,0.05235602094240838,0.05414803775459513,0.0,0.0
69,0.009317893975031662,0.007992007992007992,0.010471204188481676,0.059502125075895564,0.0,0.0
72,0.12248959652614438,0.11888111888111888,0.041884816753926704,0.2693786682857721,0.0,0.0
73,0.2857789035643206,0.3011988011988012,0.3193717277486911,0.08746107291850284,0.0,0.016213912858208158
74,0.014564863397865026,0.014985014985014986,0.0,0.29508196721311475,0.0,0.0
76,0.12176587660575357,0.12037962037962038,0.2879581151832461,0.038446526151444185,0.0,0.05193948356273462
78,0.2016464628188891,0.2162837162837163,0.3089005235602094,0.062325440194292654,0.04878048780487805,0.04864173857462448
80,0.027591821964899583,0.028971028971028972,0.03664921465968586,0.06489071038251366,0.0,0.0
82,0.12095169169531392,0.12237762237762238,0.17801047120418848,0.06432474629195942,0.04878048780487805,0.028374347501864277
83,0.04613714492491406,0.045454545454545456,0.09947643979057591,0.04134790528233151,0.0,0.0
89,0.1384114347747422,0.13786213786213786,0.04712041884816754,0.2739526411657559,0.0,0.0
90,0.021982992581870815,0.022977022977022976,0.031413612565445025,0.05880822274264897,0.0,0.0
91,0.023701827392798986,0.01948051948051948,0.02617801047120419,0.07528840315725562,0.0,0.25536912751677854
94,0.0532838791387733,0.055944055944055944,0.020942408376963352,0.2105646630236794,0.04878048780487805,0.0
96,0.15569024787407273,0.15734265734265734,0.19895287958115182,0.07510158329830462,0.14634146341463414,0.025536912751677854
97,0.06124479826307219,0.058941058941058944,0.031413612565445025,0.17174082747853242,0.0,0.0
98,0.0412520354622761,0.04195804195804196,0.015706806282722512,0.2040072859744991,0.0,0.0
99,0.08349918581508955,0.08841158841158842,0.08900523560209424,0.0883424408014572,0.04878048780487805,0.10214765100671142
100,0.0373620408901755,0.035464535464535464,0.0,0.7540983606557377,0.0,0.0
101,0.0048851094626379595,0.005494505494505495,0.0,0.10018214936247723,0.0,0.0
102,0.013026958567034558,0.012987012987012988,0.015706806282722512,0.061930783242258654,0.0,0.0
105,0.03537181110910078,0.03896103896103896,0.06282722513089005,0.04988090233991873,0.024390243902439025,0.0
106,0.010313008865569025,0.01048951048951049,0.03664921465968586,0.021402550091074682,0.0,0.0
107,0.06712502261624752,0.06643356643356643,0.10471204188481675,0.059241911700928095,0.024390243902439025,0.0
108,0.0025330197213678306,0.0024975024975024975,0.0,0.052823315118397086,0.0,0.0
110,0.03555274108919848,0.03496503496503497,0.031413612565445025,0.09784022898776998,0.024390243902439025,0.0
112,0.1379591098244979,0.13986013986013987,0.1518324607329843,0.08737097753491196,0.07317073170731707,0.0
113,0.03899041071105482,0.04095904095904096,0.15706806282722513,0.02009518773135907,0.0,0.03192114093959732
